country;station;pop;stockID;day;month;year;lat;lon;fishno;length_cm;weight_g;age;sex;maturity;folder;picname;cal
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;54;34.0;299.0;6;M;5;IC;403_54;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;56;33.0;337.2;7;F;5;IC;403_56;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;63;34.0;400.2;7;M;5;IC;403_63;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;73;33.0;388.6;7;M;5;IC;403_73;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;66;34.0;418.4;7;M;6;IC;408_66;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;95;33.0;392.8;7;F;5;IC;408_95;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;100;33.0;364.8;7;F;6;IC;408_100;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;79;35.0;398.8;6;M;5;IC;411_79;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;82;34.0;377.6;6;M;5;IC;411_82;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;83;35.0;445.0;6;M;5;IC;411_83;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;8;33.0;307.1;6;F;5;IC;403_8;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;16;33.0;407.9;6;M;5;IC;403_16;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;18;33.0;353.2;7;F;5;IC;403_18;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;23;34.0;425.4;7;M;5;IC;403_23;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;25;32.0;345.0;7;F;5;IC;403_25;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;30;34.0;365.0;7;F;5;IC;403_30;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;32;34.0;366.8;7;M;5;IC;403_32;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;36;33.0;350.0;7;M;5;IC;403_36;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;42;33.0;345.8;6;F;6;IC;403_42;203
Iceland;403;IC;337807;5;7;2009;64.14;22.56;46;35.0;393.2;7;F;5;IC;403_46;203
Iceland;408;IC;337812;8;7;2009;63.2;18.53;16;33.0;345.2;6;M;6;IC;408_16;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;8;34.5;334.0;8;M;5;NO;9012_8;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;9;30.5;259.0;8;F;5;NO;9012_9;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;17;33.0;308.0;8;F;5;NO;9012_17;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;19;32.0;261.0;7;M;6;NO;9012_19;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;20;35.5;328.0;8;F;5;NO;9012_20;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;22;34.0;355.0;7;M;5;NO;9012_22;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;23;32.5;283.0;8;M;5;NO;9012_23;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;24;31.0;268.0;6;F;5;NO;9012_24;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;28;34.5;372.0;8;M;5;NO;9012_28;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;31;30.5;223.0;6;F;5;NO;9012_31;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;37;31.5;267.0;6;M;5;NO;9012_37;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;39;33.0;304.0;8;F;5;NO;9012_39;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;46;33.5;309.0;8;M;5;NO;9012_46;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;48;32.5;280.0;8;M;6;NO;9012_48;203
Norway;6317;NO;86317;14;2;2010;62.52;5.23;2;33.0;300.0;6;F;5;NO;6317_2;203
Norway;6317;NO;86317;14;2;2010;62.52;5.23;3;31.5;253.0;7;M;5;NO;6317_3;203
Norway;6317;NO;86317;14;2;2010;62.52;5.23;4;34.0;333.0;7;M;4;NO;6317_4;203
Norway;6317;NO;86317;14;2;2010;62.52;5.23;13;33.0;291.0;8;M;4;NO;6317_13;203
Norway;6317;NO;86317;14;2;2010;62.52;5.23;15;34.0;308.0;8;F;5;NO;6317_15;203
Norway;6317;NO;86317;14;2;2010;62.52;5.23;20;31.5;257.0;6;F;5;NO;6317_20;203
Norway;6317;NO;86317;14;2;2010;62.52;5.23;22;31.5;262.0;8;F;4;NO;6317_22;203
Norway;6317;NO;86317;14;2;2010;62.52;5.23;27;30.5;237.0;6;M;4;NO;6317_27;203
Norway;6317;NO;86317;14;2;2010;62.52;5.23;29;33.5;347.0;8;M;5;NO;6317_29;203
Norway;6317;NO;86317;14;2;2010;62.52;5.23;31;32.0;288.0;7;M;4;NO;6317_31;203
Norway;6317;NO;86317;14;2;2010;62.52;5.23;33;33.5;313.0;8;F;5;NO;6317_33;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;2;34.0;318.0;8;M;5;NO;9011_2;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;3;34.5;362.0;8;M;5;NO;9011_3;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;5;32.5;238.0;8;F;5;NO;9011_5;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;7;32.5;276.0;8;F;5;NO;9011_7;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;11;33.0;293.0;8;F;5;NO;9011_11;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;13;33.5;324.0;8;F;5;NO;9011_13;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;15;31.0;251.0;6;F;5;NO;9011_15;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;18;31.5;274.0;6;F;5;NO;9011_18;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;19;32.5;267.0;8;M;5;NO;9011_19;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;21;33.0;313.0;7;M;5;NO;9011_21;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;27;33.5;249.0;8;M;7;NO;9011_27;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;31;32.5;301.0;8;F;5;NO;9011_31;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;32;31.5;249.0;6;F;5;NO;9011_32;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;34;32.5;255.0;6;F;5;NO;9011_34;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;36;32.5;270.0;6;M;5;NO;9011_36;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;37;32.0;320.0;8;F;5;NO;9011_37;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;38;33.0;330.0;7;F;5;NO;9011_38;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;39;32.5;301.0;8;F;5;NO;9011_39;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;42;29.0;203.0;6;M;5;NO;9011_42;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;43;33.5;333.0;8;M;5;NO;9011_43;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;45;33.5;360.0;8;F;5;NO;9011_45;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;46;33.0;285.0;8;M;5;NO;9011_46;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;49;33.0;287.0;8;F;5;NO;9011_49;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;50;33.5;295.0;8;F;5;NO;9011_50;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;10;32.5;298.0;8;M;5;NO;6319_10;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;17;32.0;273.0;7;M;5;NO;6319_17;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;35;33.5;284.0;8;M;5;NO;6319_35;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;36;33.5;320.0;7;M;5;NO;6319_36;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;38;32.5;296.0;8;M;5;NO;6319_38;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;121;31.9;315.4;6;F;6;SC;525_121;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;122;30.1;311.9;8;M;6;SC;525_122;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;127;28.9;209.8;7;M;6;SC;525_127;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;130;27.4;220.1;6;M;6;SC;525_130;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;131;29.4;233.2;6;M;6;SC;525_131;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;133;29.8;255.0;6;F;6;SC;525_133;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;143;29.9;229.9;6;F;6;SC;525_143;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;144;31.5;289.3;7;F;6;SC;525_144;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;146;28.0;206.7;6;M;6;SC;525_146;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;147;28.2;202.9;6;F;6;SC;525_147;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;160;28.2;206.6;7;M;6;SC;525_160;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;176;28.3;229.7;7;M;6;SC;525_176;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;179;33.6;335.8;7;F;6;SC;525_179;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;180;28.5;229.8;6;M;6;SC;525_180;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;2;32.0;337.4;6;M;6;IC;403_2;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;4;31.0;279.3;6;M;5;IC;403_4;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;6;33.0;372.0;7;F;6;IC;403_6;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;13;33.0;369.6;7;F;6;IC;403_13;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;14;34.0;390.6;7;M;5;IC;403_14;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;24;33.0;323.7;7;F;5;IC;403_24;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;27;30.0;278.0;6;F;5;IC;403_27;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;28;32.0;284.8;6;F;6;IC;403_28;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;29;34.0;387.6;6;M;5;IC;403_29;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;34;33.0;384.0;6;M;5;IC;403_34;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;55;33.0;410.2;8;M;5;IC;403_55;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;57;34.0;355.6;7;M;5;IC;403_57;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;59;33.0;350.4;7;M;5;IC;403_59;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;60;33.0;375.6;8;F;5;IC;403_60;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;66;32.0;265.1;7;F;5;IC;403_66;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;81;34.0;408.8;6;M;5;IC;403_81;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;84;34.0;424.2;8;M;5;IC;403_84;203
Iceland;403;IC;337807;5;7;2009;64.23;-22.94;89;32.0;319.6;8;F;5;IC;403_89;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;7;32.0;346.4;6;M;5;IC;408_7;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;12;33.0;331.0;7;M;5;IC;408_12;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;13;33.0;363.8;7;F;6;IC;408_13;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;15;32.0;371.0;8;F;5;IC;408_15;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;28;34.0;371.0;7;M;5;IC;408_28;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;40;34.0;286.6;7;M;7;IC;408_40;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;44;34.0;407.8;7;M;5;IC;408_44;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;63;35.0;409.2;8;M;5;IC;408_63;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;77;34.0;337.8;6;F;6;IC;408_77;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;81;33.0;381.6;8;F;6;IC;408_81;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;84;34.0;421.8;6;M;5;IC;408_84;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;86;33.0;287.2;6;F;6;IC;408_86;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;89;34.0;348.8;8;F;6;IC;408_89;203
Iceland;408;IC;337812;8;7;2009;63.34;-18.89;94;34.0;354.4;7;M;5;IC;408_94;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;1;34.0;397.0;6;F;5;IC;411_1;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;4;33.0;380.6;6;F;5;IC;411_4;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;5;34.0;383.4;8;M;5;IC;411_5;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;6;33.0;351.2;7;F;5;IC;411_6;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;8;34.0;421.6;8;M;5;IC;411_8;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;11;33.0;351.4;6;F;5;IC;411_11;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;12;32.0;355.6;6;F;5;IC;411_12;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;14;33.0;331.0;6;M;5;IC;411_14;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;15;33.0;369.8;7;F;5;IC;411_15;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;16;33.0;442.2;6;M;5;IC;411_16;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;18;33.0;381.4;6;F;5;IC;411_18;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;19;33.0;352.2;7;F;5;IC;411_19;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;20;33.0;360.2;7;F;5;IC;411_20;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;23;33.0;364.6;6;M;5;IC;411_23;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;28;33.0;346.6;6;M;5;IC;411_28;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;31;33.0;394.2;6;M;5;IC;411_31;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;32;34.0;421.0;6;M;5;IC;411_32;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;33;34.0;431.8;7;M;5;IC;411_33;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;36;33.0;381.7;8;M;5;IC;411_36;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;39;33.0;387.2;6;M;5;IC;411_39;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;41;33.0;370.6;6;M;5;IC;411_41;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;45;34.0;369.6;8;F;5;IC;411_45;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;51;35.0;374.0;7;M;5;IC;411_51;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;53;34.0;420.2;7;M;5;IC;411_53;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;54;34.0;343.2;8;F;5;IC;411_54;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;55;35.0;438.6;7;M;5;IC;411_55;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;59;33.0;404.2;7;F;5;IC;411_59;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;62;33.0;347.6;6;M;5;IC;411_62;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;64;35.0;477.6;8;M;5;IC;411_64;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;69;35.0;416.0;6;M;5;IC;411_69;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;80;34.0;380.0;7;F;5;IC;411_80;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;87;35.0;463.4;7;M;5;IC;411_87;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;88;33.0;350.2;6;F;5;IC;411_88;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;89;34.0;430.2;6;M;5;IC;411_89;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;96;34.0;387.2;7;F;5;IC;411_96;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;99;31.0;324.2;6;F;5;IC;411_99;203
Iceland;411;IC;337815;9;7;2009;63.75;-16.45;100;32.0;338.6;6;F;5;IC;411_100;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;4;30.6;225.1;8;F;6;SC;525_4;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;7;29.1;202.1;7;F;6;SC;525_7;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;8;29.2;230.8;6;M;6;SC;525_8;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;16;29.1;188.0;7;F;6;SC;525_16;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;25;29.4;207.5;6;F;6;SC;525_25;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;27;28.7;207.0;6;M;6;SC;525_27;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;31;30.1;249.7;6;F;6;SC;525_31;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;32;31.4;304.2;7;F;6;SC;525_32;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;33;29.6;255.4;6;F;6;SC;525_33;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;39;29.2;226.2;6;M;6;SC;525_39;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;40;28.7;192.1;6;M;6;SC;525_40;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;44;30.3;275.2;6;M;6;SC;525_44;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;46;29.1;239.2;6;M;6;SC;525_46;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;58;28.4;221.5;6;M;6;SC;525_58;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;66;29.5;205.2;6;F;6;SC;525_66;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;67;31.1;319.9;6;M;6;SC;525_67;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;89;28.3;229.0;7;M;6;SC;525_89;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;92;28.1;208.2;7;F;6;SC;525_92;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;95;31.3;253.9;7;F;6;SC;525_95;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;101;30.4;275.6;7;M;6;SC;525_101;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;106;29.6;239.5;7;M;6;SC;525_106;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;107;30.3;244.8;6;M;6;SC;525_107;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;109;30.8;240.1;6;F;6;SC;525_109;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;110;30.5;264.6;6;F;6;SC;525_110;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;113;29.6;219.9;7;M;6;SC;525_113;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;116;29.4;242.7;6;M;6;SC;525_116;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;120;28.7;190.2;6;F;6;SC;525_120;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;126;27.8;215.4;6;M;6;SC;525_126;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;134;29.1;235.4;6;M;6;SC;525_134;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;136;29.6;229.4;6;M;6;SC;525_136;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;138;29.1;238.0;6;M;6;SC;525_138;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;141;28.2;220.3;6;M;6;SC;525_141;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;159;29.4;239.8;6;M;6;SC;525_159;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;162;28.5;203.1;6;M;6;SC;525_162;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;163;28.1;241.4;6;M;6;SC;525_163;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;166;29.5;264.6;7;M;6;SC;525_166;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;175;29.0;226.1;6;M;6;SC;525_175;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;181;29.0;243.4;7;M;6;SC;525_181;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;182;28.7;186.8;7;F;6;SC;525_182;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;186;29.0;234.4;6;M;6;SC;525_186;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;187;29.5;255.3;6;F;6;SC;525_187;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;188;29.4;220.9;6;F;6;SC;525_188;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;190;29.4;238.9;6;F;6;SC;525_190;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;191;29.0;244.7;6;M;6;SC;525_191;203
Scotland;525;SC;440667;1;9;2010;58.73;-5.37;192;29.0;237.4;6;F;6;SC;525_192;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;4;32.5;232.0;7;M;5;NO;9011_4;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;8;33.5;324.0;8;M;5;NO;9011_8;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;10;33.0;290.0;8;F;7;NO;9011_10;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;12;34.5;274.0;8;F;5;NO;9011_12;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;16;30.0;224.0;6;M;5;NO;9011_16;203
Norway;9011;NO;39011;24;2;2010;62.53;5.25;20;32.5;269.0;6;M;5;NO;9011_20;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;4;32.0;294.0;8;M;5;NO;9012_4;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;14;30.0;231.0;6;F;5;NO;9012_14;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;21;33.0;319.0;8;F;5;NO;9012_21;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;25;34.0;346.0;8;M;5;NO;9012_25;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;29;34.0;344.0;8;M;5;NO;9012_29;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;30;33.0;285.0;7;M;6;NO;9012_30;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;32;34.0;363.0;8;F;5;NO;9012_32;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;40;33.0;287.0;8;F;5;NO;9012_40;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;44;33.0;333.0;8;F;5;NO;9012_44;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;47;31.5;256.0;6;F;5;NO;9012_47;203
Norway;9012;NO;39012;24;2;2010;62.53;5.2;49;33.5;339.0;8;F;5;NO;9012_49;203
Norway;6317;NO;86317;14;2;2010;62.52;5.23;8;32.5;307.0;8;F;5;NO;6317_8;203
Norway;6317;NO;86317;14;2;2010;62.52;5.23;25;32.5;272.0;7;F;5;NO;6317_25;203
Norway;6317;NO;86317;14;2;2010;62.52;5.23;30;33.0;274.0;7;F;5;NO;6317_30;203
Norway;6317;NO;86317;14;2;2010;62.52;5.23;36;32.5;254.0;7;M;7;NO;6317_36;203
Norway;6317;NO;86317;14;2;2010;62.52;5.23;37;32.5;265.0;7;F;5;NO;6317_37;203
Norway;6317;NO;86317;14;2;2010;62.52;5.23;43;34.5;375.0;8;F;5;NO;6317_43;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;3;34.0;315.0;8;F;5;NO;6319_3;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;6;30.0;225.0;6;M;5;NO;6319_6;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;8;31.5;284.0;7;F;5;NO;6319_8;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;14;34.0;344.0;8;M;5;NO;6319_14;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;15;33.0;303.0;8;M;5;NO;6319_15;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;20;29.0;174.0;6;M;5;NO;6319_20;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;24;32.5;314.0;7;F;5;NO;6319_24;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;28;33.0;308.0;7;F;5;NO;6319_28;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;29;34.0;355.0;8;M;5;NO;6319_29;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;30;33.0;283.0;6;M;5;NO;6319_30;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;33;32.5;280.0;7;F;5;NO;6319_33;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;39;31.0;266.0;6;F;5;NO;6319_39;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;42;30.0;230.0;6;M;5;NO;6319_42;203
Norway;6319;NO;86319;19;2;2010;61.88;4.58;47;33.5;279.0;8;M;5;NO;6319_47;203